MRELOV(0) ---> MRELSA(0)	Support:13.63793	Confidence:67.68968	Lift:1.609842	Leverage:0.05166333
MRELOV(2) ---> MRELSA(1)	Support:15.92236	Confidence:52.79043	Lift:1.514019	Leverage:0.05405744
MFALLEEN(0) ---> MRELSA(0)	Support:16.45483	Confidence:54.52476	Lift:1.296745	Leverage:0.03765494
MBERHOOG(0) ---> MRELSA(0)	Support:13.39746	Confidence:51.1811	Lift:1.217224	Leverage:0.02390888
MRELSA(0) ---> MBERZELF(0)	Support:33.66541	Confidence:80.06536	Lift:1.117575	Leverage:0.03541784
MRELSA(1) ---> MBERZELF(0)	Support:20.81759	Confidence:59.70443	Lift:0.8333714	Leverage:-0.04162377
MBERZELF(1) ---> MRELSA(1)	Support:12.59018	Confidence:60.9817	Lift:1.748943	Leverage:0.05391442
MRELSA(2) ---> MBERZELF(0)	Support:12.88217	Confidence:69.76744	Lift:0.9738337	Leverage:-0.003461355
MRELSA(0) ---> MBERBOER(0)	Support:30.7798	Confidence:73.20261	Lift:1.020559	Leverage:0.006200671
MRELSA(1) ---> MBERBOER(0)	Support:22.17451	Confidence:63.59606	Lift:0.886629	Leverage:-0.02835399
MRELSA(2) ---> MBERBOER(0)	Support:14.70285	Confidence:79.62791	Lift:1.110138	Leverage:0.01458687
MRELOV(0) ---> MFALLEEN(0)	Support:17.45105	Confidence:86.61552	Lift:2.870094	Leverage:0.1137074
MFALLEEN(0) ---> MRELOV(0)	Support:17.45105	Confidence:57.82584	Lift:2.870094	Leverage:0.1137074
MFALLEEN(2) ---> MRELOV(2)	Support:12.43559	Confidence:58.05934	Lift:1.924952	Leverage:0.0597538
MRELOV(0) ---> MBERZELF(0)	Support:15.64754	Confidence:77.66411	Lift:1.084058	Leverage:0.01213308
MRELOV(2) ---> MBERZELF(0)	Support:20.45689	Confidence:67.8246	Lift:0.946715	Leverage:-0.01151397
MRELOV(3) ---> MBERZELF(0)	Support:13.96427	Confidence:70.57292	Lift:0.9850768	Leverage:-0.002115491
MRELOV(0) ---> MBERBOER(0)	Support:17.96633	Confidence:89.17306	Lift:1.243213	Leverage:0.03514796
MRELOV(2) ---> MBERBOER(0)	Support:21.3157	Confidence:70.67198	Lift:0.9852784	Leverage:-0.003184889
MRELOV(3) ---> MBERBOER(0)	Support:12.46994	Confidence:63.02083	Lift:0.8786094	Leverage:-0.01722874
MFALLEEN(0) ---> MOPLHOOG(0)	Support:15.64754	Confidence:51.84974	Lift:1.406005	Leverage:0.0451846
MFALLEEN(0) ---> MBERZELF(0)	Support:23.10203	Confidence:76.55094	Lift:1.06852	Leverage:0.01481436
